partner_code,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
LXJ_CODE,100000,102,扬州市,仪征德众劳务,Z,90,XCX,2.0,33.3,M,汉,5922.0,2.0,01,FRIENDS,MATE,1,70,江苏省,CONSUME,02,,32.39665956845984,119.41282360477809,ANDROID,,0
LXJ_CODE,100000,105,黄冈市,无无无无,Z,90,XCX,3.0,23.6,F,汉,969.0,2.0,01,PARENTS,PARENTS,2,70,湖北省,CONSUME,01,,30.470536562239013,114.43294520369735,ANDROID,,0
LXJ_CODE,100000,103,上海市,上海普环第一有限分公司,H,54,APP,4.0,36.5,M,汉,5335.0,4.0,01,PARENTS,RELATIVES,2,70,上海市,CONSUME,01,,31.269464,121.416705,ANDROID,false,0
HXQB_CODE,100000,103,襄阳市,武汉市钢实盛达工程劳务有限公司,E,24,APP,2.0,41.7,F,汉,3777.0,2.0,01,MATE,FRIENDS,1,88.31145,湖北省,CONSUME,01,,30.641670791453408,114.38744808175454,ANDROID,,0
LXJ_CODE,100000,104,十堰市,郧阳区吴军机械租赁服务部,Z,90,APP,3.0,40.0,M,汉,3737.0,3.0,,MATE,FRIENDS,1,70,湖北省,CONSUME,01,,32.66497469196722,110.83005800398428,ANDROID,false,0
JY_CODE,100000,403,宿迁市,上海贝服智能家居有限公司,C,24,APP,2.0,32.4,M,汉,7044.0,4.0,01,PARENTS,FRIENDS,1,70,江苏省,CONSUME,01,,34.15205005954932,119.18136218541186,ANDROID,,0
YXM_CODE,,,大连市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
JY_CODE,100000,102,重庆市,重庆蓝之燕艺术培训有限公司,P,13,APP,3.0,27.0,F,汉,1348.0,3.0,01,PARENTS,FRIENDS,2,70,重庆市,CONSUME,01,,29.407289100191073,105.61811721157088,ANDROID,,0
LXJ_CODE,100000,104,固原市,长青学院,P,13,APP,2.0,30.6,M,汉,6182.0,3.0,01,MATE,COLLEAGUE,1,84.201,宁夏回族自治区,CONSUME,02,,35.48608,105.01439,ANDROID,false,0
JY_CODE,100000,103,罗定市,术木装饰有限公司,E,24,APP,2.0,35.5,F,汉,4120.0,2.0,01,MATE,FRIENDS,1,70,广东省,CONSUME,01,,23.02730841164339,113.75842045787648,ANDROID,,0
LXJ_CODE,100000,,张家口市,张家口大仓通医疗器械有限公司,H,54,APP,3.0,26.9,F,汉,1415.0,2.0,,FATHER,COLLEAGUE,2,70,河北省,CONSUME,04,,40.77147650824653,114.87077012803819,ANDROID,,0
LXJ_CODE,100000,104,潍坊市,歌儿光电园,Z,90,APP,3.0,38.1,F,汉,5714.0,2.0,,PARENTS,MATE,2,92.752,山东省,CONSUME,01,,36.70136730499908,119.18674088642217,ANDROID,false,0
LXJ_CODE,100000,105,无锡市,无锡市东舟船舶设备股份有限公司,Z,90,XCX,2.0,48.6,M,汉,2717.0,4.0,01,SIBLING,MATE,1,70,江苏省,CONSUME,01,,31.669163431065074,120.36842354480395,ANDROID,,0
LXJ_CODE,100000,103,岳阳市,孙记牛羊肉店,H,54,APP,3.0,41.1,M,汉,2596.0,3.0,01,PARENTS,FRIENDS,2,85.534256,湖南省,CONSUME,02,,29.35108,113.177319,ANDROID,false,0
JY_CODE,100000,104,潍坊市,山东福顺诚装饰工程有限公司,Z,90,APP,3.0,27.0,M,汉,2926.0,2.0,01,MOTHER,COLLEAGUE,2,70,山东省,CONSUME,01,,36.763806,119.231039,ANDROID,,0
